,song,artist
0,Smells Like Teen Spirit,Nirvana
1,Love Will Tear Us Apart,Joy Division
2,Radio Free Europe,R.E.M.
3,Blue Monday,New Order
4,How Soon is Now?,The Smiths
5,Once in a Lifetime,Talking Heads
6,Teen Age Riot,Sonic Youth
7,Blister in the Sun,Violent Femmes
8,Jeremy,Pearl Jam
9,Monkey Gone to Heaven,Pixies
10,Under the Bridge,Red Hot Chili Peppers
11,Black Hole Sun,Soundgarden
12,Closer,Nine Inch Nails
13,Losing My Religion,R.E.M.
14,Wonderwall,Oasis
15,Just Like Heaven,The Cure
16,Cannonball,The Breeders
17,Come As You Are,Nirvana
18,Loser,Beck
19,Creep,Radiohead
20,Bela Lugosi's Dead,Bauhaus
21,Personal Jesus,Depeche Mode
22,Song 2,Blur
23,The Killing Moon,Echo and the Bunnymen
24,Sunday Bloody Sunday,U2
25,Common People,Pulp
26,There Is a Light That Never Goes Out,The Smiths
27,Running Up That Hill (A Deal With God),Kate Bush
28,It's The End of the World As We Know It (And I Feel Fine),R.E.M.
29,1979,The Smashing Pumpkins
30,Waiting Room,Fugazi
31,Lovesong,The Cure
32,Alive,Pearl Jam
33,"Radio, Radio",Elvis Costello & The Attractions
34,All Apologies,Nirvana
35,Atmosphere,Joy Division
36,Here Comes Your Man,Pixies
37,Paranoid Android,Radiohead
38,There She Goes,The La's
39,Everlong,Foo Fighters
40,Buddy Holly,Weezer
41,Plush,Stone Temple Pilots
42,Enjoy the Silence,Depeche Mode
43,This Charming Man,The Smiths
44,Would?,Alice in Chains
45,The One I Love,R.E.M.
46,"Touch Me, I'm Sick",Mudhoney
47,Head Like a Hole,Nine Inch Nails
48,Bastards of Young,The Replacements
49,Burning Down the House,Talking Heads
50,Lithium,Nirvana
51,Sabotage,Beastie Boys
52,New Year's Day,U2
53,Cut Your Hair,Pavement
54,Boys Don't Cry,The Cure
55,"Tonight, Tonight",The Smashing Pumpkins
56,Jesus Christ Pose,Soundgarden
57,Live Forever,Oasis
58,I Wanna Be Adored,The Stone Roses
59,Give It Away,Red Hot Chili Peppers
60,What I Got,Sublime
61,Just Like Honey,The Jesus and Mary Chain
62,Where Is My Mind?,Pixies
63,Seven Nation Army,The White Stripes
64,Fairytale of New York,The Pogues & Kirsty MacColl
65,Beds Are Burning,Midnight Oil
66,Dear God,XTC
67,Karma Police,Radiohead
68,Epic,Faith No More
69,Man in the Box,Alice in Chains
70,I Still Haven't Found What I'm Looking For,U2
71,True Faith,New Order
72,I Melt With You,Modern English
73,Only Shallow,My Bloody Valentine
74,Bulls on Parade,Rage Against the Machine
75,Left of the Dial,The Replacements
76,That's Entertainment,The Jam
77,Alison,Elvis Costello
78,When I Come Around,Green Day
79,Bitter Sweet Symphony,The Verve
80,Shine,Collective Soul
81,She's Lost Control,Joy Division
82,Hallelujah,Jeff Buckley
83,Birdhouse in Your Soul,They Might Be Giants
84,Loaded,Primal Scream
85,Celebrated Summer,Hüsker Dü
86,Float On,Modest Mouse
87,Better Man,Pearl Jam
88,So Alive,Love and Rockets
89,Today,The Smashing Pumpkins
90,Academy Fight Song,Mission of Burma
91,Heart-Shaped Box,Nirvana
92,Fake Plastic Trees,Radiohead
93,Nothing Compares 2 U,Sinéad O'Connor
94,Mr. Brightside,The Killers
95,You Oughta Know,Alanis Morissette
96,Come Out and Play,The Offspring
97,Don't Speak,No Doubt
98,Been Caught Stealing,Jane's Addiction
99,Senses Working Overtime,XTC
100,Hunger Strike,Temple of the Dog
101,Hey Jealousy,Gin Blossoms
102,Big Me,Foo Fighters
103,Runaway Train,Soul Asylum
104,Under the Milky Way,The Church
105,Wuthering Heights,Kate Bush
106,Interstate Love Song,Stone Temple Pilots
107,Champagne Supernova,Oasis
108,One Headlight,The Wallflowers
109,Man on the Moon,R.E.M.
110,Panic,The Smiths
111,No Rain,Blind Melon
112,Fell in Love with a Girl,The White Stripes
113,Silent All These Years,Tori Amos
114,Linger,The Cranberries
115,Boulevard of Broken Dreams,Green Day
116,Girls & Boys,Blur
117,Bizarre Love Triangle,New Order
118,Chloe Dancer/Crown of Thorns,Mother Love Bone
119,Feel Good Inc.,Gorillaz
120,Sour Times,Portishead
121,Song to the Siren,This Mortal Coil
122,Summer Babe,Pavement
123,Ghost Town,The Specials
124,Back on the Chain Gang,The Pretenders
125,Jane Says,Jane's Addiction
126,Cities in Dust,Siouxsie and the Banshees
127,Pictures of You,The Cure
128,Everyday is Like Sunday,Morrissey
129,Respectable Street,XTC
130,Tomorrow,Silverchair
131,Rock Lobster,The B-52's
132,Where It's At,Beck
133,Heaven Beside You,Alice in Chains
134,Love My Way,The Psychedelic Furs
135,Pump It Up,Elvis Costello & The Attractions
136,Kool Thing,Sonic Youth
137,Rusty Cage,Soundgarden
138,Going Underground,The Jam
139,Scar Tissue,Red Hot Chili Peppers
140,About a Girl,Nirvana
141,Road to Nowhere,Talking Heads
142,Ball and Chain,Social Distortion
143,Glycerine,Bush
144,Welcome to the Black Parade,My Chemical Romance
145,Undone (The Sweater Song),Weezer
146,"Me, Myself & I",De La Soul
147,So. Central Rain (I'm Sorry),R.E.M.
148,Divorce Song,Liz Phair
149,Freak Scene,Dinosaur Jr.
150,Doll Parts,Hole
151,Even Flow,Pearl Jam
152,Lake of Fire,Meat Puppets
153,Hyperballad,Björk
154,In the End,Linkin Park
155,Best of You,Foo Fighters
156,Take Me Out,Franz Ferdinand
157,Crazy,Gnarls Barkley
158,Killing in the Name,Rage Against the Machine
159,Connection,Elastica
160,Hurt,Nine Inch Nails
161,Starlight,Muse
162,Basket Case,Green Day
163,Somebody That I Used to Know,Gotye & Kimbra
164,The Cutter,Echo and the Bunnymen
165,I Am the Resurrection,The Stone Roses
166,Unfinished Sympathy,Massive Attack
167,Yellow,Coldplay
168,Close to Me,The Cure
169,Do You Realize??,The Flaming Lips
170,She's In Parties,Bauhaus
171,Don't Look Back in Anger,Oasis
172,Black,Pearl Jam
173,Mysterious Ways,U2
174,The Drowners,Suede
175,Kiss Them for Me,Siouxsie and the Banshees
176,100%,Sonic Youth
177,No Surprises,Radiohead
178,Rebellion (Lies),Arcade Fire
179,Drive,Incubus
180,Stupid Girl,Garbage
181,Last Nite,The Strokes
182,Disarm,The Smashing Pumpkins
183,Can I Kick It?,A Tribe Called Quest
184,Fascination Street,The Cure
185,One,U2
186,The Middle,Jimmy Eat World
187,Sheela-Na-Gig,PJ Harvey
188,Sex and Candy,Marcy Playground
189,Where the Wild Roses Grow,Nick Cave and the Bad Seeds & Kylie Minogue
190,April Skies,The Jesus and Mary Chain
191,Start Choppin',Dinosaur Jr.
192,Paper Planes,M.I.A.
193,1901,Phoenix
194,Mannequin,Wire
195,I Bet You Look Good on the Dancefloor,Arctic Monkeys
196,History Lesson Part II,Minutemen
197,Miss World,Hole
198,You Get What You Give,New Radicals
199,Longview,Green Day
200,Heaven Knows I'm Miserable Now,The Smiths
201,"Sugar, We're Goin' Down",Fall Out Boy
202,Clocks,Coldplay
203,Semi-Charmed Life,Third Eye Blind
204,Hey Ladies,Beastie Boys
205,Damaged Goods,Gang of Four
206,Public Image,Public Image Ltd.
207,In Circles,Sunny Day Real Estate
208,The Concept,Teenage Fanclub
209,Seether,Veruca Salt
210,Heaven or Las Vegas,Cocteau Twins
211,Soon,My Bloody Valentine
212,Totally Wired,The Fall
213,"What's the Frequency, Kenneth?",R.E.M.
214,Veronica,Elvis Costello
215,The Mercy Seat,Nick Cave and the Bad Seeds
216,Criminal,Fiona Apple
217,Don't Get Me Wrong,The Pretenders
218,In Bloom,Nirvana
219,Ahead By a Century,The Tragically Hip
220,Let's Go to Bed,The Cure
221,Happy House,Siouxsie and the Banshees
222,Bring on the Dancing Horses,Echo and the Bunnymen
223,Everything Counts,Depeche Mode
224,Metal Mickey,Suede
225,The Last of the Famous International Playboys,Morrissey
226,Regret,New Order
227,Dreams,The Cranberries
228,Uprising,Muse
229,This Corrosion,The Sisters of Mercy
230,Hounds of Love,Kate Bush
231,Makes No Sense at All,Hüsker Dü
232,Cattle and Cane,The Go-Betweens
233,Like the Weather,"10,000 Maniacs"
234,"William, It Was Really Nothing",The Smiths
235,Somebody Told Me,The Killers
236,The Mayor of Simpleton,XTC
237,(Nothing But) Flowers,Talking Heads
238,Spiderwebs,No Doubt
239,Violet,Hole
240,Idioteque,Radiohead
241,Miss Misery,Elliott Smith
242,Cornflake Girl,Tori Amos
243,Royals,Lorde
244,Parklife,Blur
245,My Hero,Foo Fighters
246,Head On,The Jesus and Mary Chain
