,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,time_signature,cluster
0,6yzJiHzsscf0n88xb9aNT4,0.382,0.451,-6.606,0.0293,0.557,3.39e-05,0.506,150.803,4,24
1,5zdXRoKLZ54VBdbdn7yhz4,0.742,0.375,-13.829,0.0482,0.397,0.901,0.105,102.023,4,17
2,5qvCKAyjgHnpR5c63OedCY,0.585,0.552,-10.613,0.0353,0.194,0.0171,0.496,100.089,4,12
3,2vByA9JgfMU2bPjUqmxCdv,0.405,0.535,-7.504,0.0531,0.0531,0.106,0.637,97.698,4,10
4,0pPQwIjwqduvLfZORYYEaI,0.586,0.526,-6.928,0.0564,0.555,0.0,0.456,107.153,4,1
5,39OqZkxrUiMAR1bG3oquBA,0.71,0.831,-6.847,0.0392,0.107,0.00131,0.867,104.972,4,27
6,3wO7lEbQYuxxEXmwfk335E,0.582,0.515,-9.283,0.0578,0.608,0.000641,0.603,115.732,4,14
7,3ujQCboY7MGBBnU5uy9EUI,0.472,0.284,-9.43,0.027,0.342,0.164,0.304,75.133,4,16
8,36EKCiUoj6onFAU6dQ6A1c,0.293,0.375,-12.44,0.0328,0.826,1.83e-05,0.29,123.079,3,22
9,6mtfWoTjJbjk8cKjBB5UIf,0.738,0.73,-7.143,0.0575,0.115,0.538,0.567,130.028,4,20
10,7LJv6Z43m6Z8TDDYPLkz8K,0.487,0.696,-7.756,0.0269,0.0114,0.568,0.529,100.021,4,7
11,315zoLAH6dY5ON7zQe8cWs,0.734,0.491,-10.743,0.0286,0.635,0.0284,0.59,119.161,4,23
12,4CD5Jr9UuR1itRoM4dSYnh,0.741,0.734,-7.97,0.0501,0.00642,0.000286,0.806,109.066,4,27
13,4G4CUtpdFldmLcKqDdrVaJ,0.51,0.877,-5.719,0.0385,0.0706,0.00144,0.843,79.882,4,28
14,2m32wOGkiV8ltxXvwwVeao,0.608,0.402,-10.816,0.0339,0.208,0.105,0.119,116.378,4,24
15,3O30ywyRk6EKT68sBvVqOP,0.578,0.808,-4.131,0.0284,0.0608,0.144,0.597,93.979,4,28
16,21extzX26A1BEXAkllMPT4,0.629,0.915,-6.567,0.0383,0.0666,0.793,0.892,118.345,4,20
17,4AHU8QRdwCUWxPC53cw4Hh,0.752,0.54,-8.986,0.0768,0.561,0.000155,0.882,114.217,4,14
18,1kDL4EErmvXdQCZRJoJHQn,0.562,0.717,-6.449,0.0293,0.0426,0.00919,0.527,85.0,4,28
19,4aCsgwFhbZ8CmYAotK7W2B,0.746,0.582,-6.283,0.0394,0.12,2.44e-05,0.914,113.058,4,27
20,3Wkho6tesTh4aF80T6evqH,0.182,0.539,-10.839,0.0799,0.0781,0.000101,0.413,69.717,4,10
21,2h2FLYLTGP3wKSbZAPrnes,0.566,0.511,-8.826,0.0614,0.676,3e-06,0.257,123.311,4,1
22,6QlroU0h60W8iiJdwQGd2C,0.553,0.417,-9.032,0.0347,0.648,0.0004,0.244,87.372,4,1
23,4GZ0mDOTfdYEFqhddeguic,0.427,0.467,-4.589,0.0348,0.22,0.79,0.0758,77.217,3,7
24,0Iz72FGhG44jBHV1KhteYs,0.459,0.774,-4.326,0.0438,0.116,0.246,0.523,76.761,4,28
