,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.382,0.451,7,-6.606,0,0.0293,0.557,3.39e-05,0.265,0.506,150.803,audio_features,6yzJiHzsscf0n88xb9aNT4,spotify:track:6yzJiHzsscf0n88xb9aNT4,https://api.spotify.com/v1/tracks/6yzJiHzsscf0n88xb9aNT4,https://api.spotify.com/v1/audio-analysis/6yzJiHzsscf0n88xb9aNT4,267540,4
1,0.742,0.375,7,-13.829,1,0.0482,0.397,0.901,0.0996,0.105,102.023,audio_features,5zdXRoKLZ54VBdbdn7yhz4,spotify:track:5zdXRoKLZ54VBdbdn7yhz4,https://api.spotify.com/v1/tracks/5zdXRoKLZ54VBdbdn7yhz4,https://api.spotify.com/v1/audio-analysis/5zdXRoKLZ54VBdbdn7yhz4,342163,4
2,0.585,0.552,0,-10.613,1,0.0353,0.194,0.0171,0.0735,0.496,100.089,audio_features,5qvCKAyjgHnpR5c63OedCY,spotify:track:5qvCKAyjgHnpR5c63OedCY,https://api.spotify.com/v1/tracks/5qvCKAyjgHnpR5c63OedCY,https://api.spotify.com/v1/audio-analysis/5qvCKAyjgHnpR5c63OedCY,267813,4
3,0.405,0.535,6,-7.504,0,0.0531,0.0531,0.106,0.0696,0.637,97.698,audio_features,2vByA9JgfMU2bPjUqmxCdv,spotify:track:2vByA9JgfMU2bPjUqmxCdv,https://api.spotify.com/v1/tracks/2vByA9JgfMU2bPjUqmxCdv,https://api.spotify.com/v1/audio-analysis/2vByA9JgfMU2bPjUqmxCdv,210800,4
4,0.586,0.526,0,-6.928,1,0.0564,0.555,0.0,0.234,0.456,107.153,audio_features,0pPQwIjwqduvLfZORYYEaI,spotify:track:0pPQwIjwqduvLfZORYYEaI,https://api.spotify.com/v1/tracks/0pPQwIjwqduvLfZORYYEaI,https://api.spotify.com/v1/audio-analysis/0pPQwIjwqduvLfZORYYEaI,161267,4
5,0.71,0.831,2,-6.847,0,0.0392,0.107,0.00131,0.159,0.867,104.972,audio_features,39OqZkxrUiMAR1bG3oquBA,spotify:track:39OqZkxrUiMAR1bG3oquBA,https://api.spotify.com/v1/tracks/39OqZkxrUiMAR1bG3oquBA,https://api.spotify.com/v1/audio-analysis/39OqZkxrUiMAR1bG3oquBA,227067,4
6,0.582,0.515,11,-9.283,0,0.0578,0.608,0.000641,0.0931,0.603,115.732,audio_features,3wO7lEbQYuxxEXmwfk335E,spotify:track:3wO7lEbQYuxxEXmwfk335E,https://api.spotify.com/v1/tracks/3wO7lEbQYuxxEXmwfk335E,https://api.spotify.com/v1/audio-analysis/3wO7lEbQYuxxEXmwfk335E,263397,4
7,0.472,0.284,9,-9.43,1,0.027,0.342,0.164,0.104,0.304,75.133,audio_features,3ujQCboY7MGBBnU5uy9EUI,spotify:track:3ujQCboY7MGBBnU5uy9EUI,https://api.spotify.com/v1/tracks/3ujQCboY7MGBBnU5uy9EUI,https://api.spotify.com/v1/audio-analysis/3ujQCboY7MGBBnU5uy9EUI,294493,4
8,0.293,0.375,1,-12.44,0,0.0328,0.826,1.83e-05,0.161,0.29,123.079,audio_features,36EKCiUoj6onFAU6dQ6A1c,spotify:track:36EKCiUoj6onFAU6dQ6A1c,https://api.spotify.com/v1/tracks/36EKCiUoj6onFAU6dQ6A1c,https://api.spotify.com/v1/audio-analysis/36EKCiUoj6onFAU6dQ6A1c,220000,3
9,0.738,0.73,1,-7.143,0,0.0575,0.115,0.538,0.0791,0.567,130.028,audio_features,6mtfWoTjJbjk8cKjBB5UIf,spotify:track:6mtfWoTjJbjk8cKjBB5UIf,https://api.spotify.com/v1/tracks/6mtfWoTjJbjk8cKjBB5UIf,https://api.spotify.com/v1/audio-analysis/6mtfWoTjJbjk8cKjBB5UIf,243853,4
10,0.487,0.696,4,-7.756,1,0.0269,0.0114,0.568,0.107,0.529,100.021,audio_features,7LJv6Z43m6Z8TDDYPLkz8K,spotify:track:7LJv6Z43m6Z8TDDYPLkz8K,https://api.spotify.com/v1/tracks/7LJv6Z43m6Z8TDDYPLkz8K,https://api.spotify.com/v1/audio-analysis/7LJv6Z43m6Z8TDDYPLkz8K,340040,4
11,0.734,0.491,9,-10.743,0,0.0286,0.635,0.0284,0.0834,0.59,119.161,audio_features,315zoLAH6dY5ON7zQe8cWs,spotify:track:315zoLAH6dY5ON7zQe8cWs,https://api.spotify.com/v1/tracks/315zoLAH6dY5ON7zQe8cWs,https://api.spotify.com/v1/audio-analysis/315zoLAH6dY5ON7zQe8cWs,337480,4
12,0.741,0.734,8,-7.97,1,0.0501,0.00642,0.000286,0.0292,0.806,109.066,audio_features,4CD5Jr9UuR1itRoM4dSYnh,spotify:track:4CD5Jr9UuR1itRoM4dSYnh,https://api.spotify.com/v1/tracks/4CD5Jr9UuR1itRoM4dSYnh,https://api.spotify.com/v1/audio-analysis/4CD5Jr9UuR1itRoM4dSYnh,300399,4
