,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.532,0.819,6,-5.282,0,0.256,0.0157,0.0,0.371,0.594,90.215,audio_features,1fotoYONO343JjbC8XvPSl,spotify:track:1fotoYONO343JjbC8XvPSl,https://api.spotify.com/v1/tracks/1fotoYONO343JjbC8XvPSl,https://api.spotify.com/v1/audio-analysis/1fotoYONO343JjbC8XvPSl,247333,4
1,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,audio_features,74tLlkN3rgVzRqQJgPfink,spotify:track:74tLlkN3rgVzRqQJgPfink,https://api.spotify.com/v1/tracks/74tLlkN3rgVzRqQJgPfink,https://api.spotify.com/v1/audio-analysis/74tLlkN3rgVzRqQJgPfink,386907,4
2,0.746,0.978,9,-5.324,1,0.0978,0.0555,4.11e-05,0.026,0.653,153.809,audio_features,3WibbMr6canxRJXhNtAvLU,spotify:track:3WibbMr6canxRJXhNtAvLU,https://api.spotify.com/v1/tracks/3WibbMr6canxRJXhNtAvLU,https://api.spotify.com/v1/audio-analysis/3WibbMr6canxRJXhNtAvLU,304227,4
3,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029,audio_features,0mEdbdeRFQwBhN4xfyIeUM,spotify:track:0mEdbdeRFQwBhN4xfyIeUM,https://api.spotify.com/v1/tracks/0mEdbdeRFQwBhN4xfyIeUM,https://api.spotify.com/v1/audio-analysis/0mEdbdeRFQwBhN4xfyIeUM,271600,4
4,0.775,0.734,7,-5.41,1,0.215,0.00138,0.0,0.304,0.342,90.001,audio_features,2LhhnqrHPWvXYveZVHLKrd,spotify:track:2LhhnqrHPWvXYveZVHLKrd,https://api.spotify.com/v1/tracks/2LhhnqrHPWvXYveZVHLKrd,https://api.spotify.com/v1/audio-analysis/2LhhnqrHPWvXYveZVHLKrd,210840,4
5,0.761,0.894,1,-4.23,1,0.284,0.0136,0.00268,0.159,0.745,85.964,audio_features,35eti7SkQ8NWUvf7O2orw1,spotify:track:35eti7SkQ8NWUvf7O2orw1,https://api.spotify.com/v1/tracks/35eti7SkQ8NWUvf7O2orw1,https://api.spotify.com/v1/audio-analysis/35eti7SkQ8NWUvf7O2orw1,255573,4
6,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-06,0.124,0.54,87.374,audio_features,7G3lxTsMfSx4yarMkfgnTC,spotify:track:7G3lxTsMfSx4yarMkfgnTC,https://api.spotify.com/v1/tracks/7G3lxTsMfSx4yarMkfgnTC,https://api.spotify.com/v1/audio-analysis/7G3lxTsMfSx4yarMkfgnTC,290573,4
7,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,audio_features,0trHOzAhNpGCsGBEu7dOJo,spotify:track:0trHOzAhNpGCsGBEu7dOJo,https://api.spotify.com/v1/tracks/0trHOzAhNpGCsGBEu7dOJo,https://api.spotify.com/v1/audio-analysis/0trHOzAhNpGCsGBEu7dOJo,293973,4
8,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4
9,0.782,0.597,1,-6.399,1,0.335,0.0568,0.0,0.582,0.528,94.631,audio_features,61VlApj8p2ZaP0WTunTrKT,spotify:track:61VlApj8p2ZaP0WTunTrKT,https://api.spotify.com/v1/tracks/61VlApj8p2ZaP0WTunTrKT,https://api.spotify.com/v1/audio-analysis/61VlApj8p2ZaP0WTunTrKT,243133,4
10,0.612,0.659,6,-6.995,0,0.406,0.0137,0.0,0.417,0.393,99.137,audio_features,4anqYZt4APNlFwQixpbdZR,spotify:track:4anqYZt4APNlFwQixpbdZR,https://api.spotify.com/v1/tracks/4anqYZt4APNlFwQixpbdZR,https://api.spotify.com/v1/audio-analysis/4anqYZt4APNlFwQixpbdZR,136093,4
11,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,audio_features,5ByAIlEEnxYdvpnezg7HTX,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302760,4
12,0.704,0.873,11,-4.057,0,0.144,0.121,5.12e-06,0.24,0.742,154.914,audio_features,19FsxX4RthRMZGfXkImdCb,spotify:track:19FsxX4RthRMZGfXkImdCb,https://api.spotify.com/v1/tracks/19FsxX4RthRMZGfXkImdCb,https://api.spotify.com/v1/audio-analysis/19FsxX4RthRMZGfXkImdCb,366880,4
13,0.573,0.831,7,-5.586,1,0.433,0.0401,0.0,0.0909,0.766,76.352,audio_features,06UPCXzhIsXnceSXmKLMEY,spotify:track:06UPCXzhIsXnceSXmKLMEY,https://api.spotify.com/v1/tracks/06UPCXzhIsXnceSXmKLMEY,https://api.spotify.com/v1/audio-analysis/06UPCXzhIsXnceSXmKLMEY,277707,4
14,0.753,0.749,1,-6.132,0,0.316,0.0285,0.0,0.0845,0.832,93.79,audio_features,3gRlmtdCyNoKiyozn2pqc9,spotify:track:3gRlmtdCyNoKiyozn2pqc9,https://api.spotify.com/v1/tracks/3gRlmtdCyNoKiyozn2pqc9,https://api.spotify.com/v1/audio-analysis/3gRlmtdCyNoKiyozn2pqc9,246440,4
15,0.708,0.447,1,-6.305,1,0.0952,0.0271,0.000728,0.102,0.0384,89.62,audio_features,4qfUlchVD7WM4JhA5xio6m,spotify:track:4qfUlchVD7WM4JhA5xio6m,https://api.spotify.com/v1/tracks/4qfUlchVD7WM4JhA5xio6m,https://api.spotify.com/v1/audio-analysis/4qfUlchVD7WM4JhA5xio6m,276968,4
16,0.814,0.663,1,-7.446,1,0.355,0.296,3.39e-06,0.16,0.52,93.014,audio_features,1kHPOtD1fo3kWOgcs0oisd,spotify:track:1kHPOtD1fo3kWOgcs0oisd,https://api.spotify.com/v1/tracks/1kHPOtD1fo3kWOgcs0oisd,https://api.spotify.com/v1/audio-analysis/1kHPOtD1fo3kWOgcs0oisd,211840,4
17,0.489,0.878,2,-3.36,1,0.368,0.351,0.0,0.698,0.775,81.497,audio_features,1eLU27PPFxBhbp1CBjPh9J,spotify:track:1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/tracks/1eLU27PPFxBhbp1CBjPh9J,https://api.spotify.com/v1/audio-analysis/1eLU27PPFxBhbp1CBjPh9J,372173,4
