,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.548,0.258,11,-8.874,1,0.0293,0.475,2.88e-05,0.459,0.644,126.921,audio_features,6PHf8qq1n8mWplJ9nEZ9ED,spotify:track:6PHf8qq1n8mWplJ9nEZ9ED,https://api.spotify.com/v1/tracks/6PHf8qq1n8mWplJ9nEZ9ED,https://api.spotify.com/v1/audio-analysis/6PHf8qq1n8mWplJ9nEZ9ED,200293,4
1,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4
2,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4PTG3Z6ehGkBFwjybzWkR8,spotify:track:4PTG3Z6ehGkBFwjybzWkR8,https://api.spotify.com/v1/tracks/4PTG3Z6ehGkBFwjybzWkR8,https://api.spotify.com/v1/audio-analysis/4PTG3Z6ehGkBFwjybzWkR8,213573,4
3,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
4,0.798,0.74,11,-4.865,1,0.0458,0.0419,1.84e-06,0.157,0.834,128.054,audio_features,1cSXzDZt8vzuUp2XREQEJN,spotify:track:1cSXzDZt8vzuUp2XREQEJN,https://api.spotify.com/v1/tracks/1cSXzDZt8vzuUp2XREQEJN,https://api.spotify.com/v1/audio-analysis/1cSXzDZt8vzuUp2XREQEJN,219720,4
5,0.326,0.579,0,-8.399,1,0.0364,0.0396,1.17e-06,0.194,0.263,196.041,audio_features,0XLlGrXn98Td1cPAeKcZns,spotify:track:0XLlGrXn98Td1cPAeKcZns,https://api.spotify.com/v1/tracks/0XLlGrXn98Td1cPAeKcZns,https://api.spotify.com/v1/audio-analysis/0XLlGrXn98Td1cPAeKcZns,254267,3
6,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,0aym2LBJBk9DAYuHHutrIl,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4
7,0.464,0.936,1,-6.864,0,0.0349,0.000145,0.00516,0.305,0.294,167.983,audio_features,2MlqP1HzhitHfFXPXKumdB,spotify:track:2MlqP1HzhitHfFXPXKumdB,https://api.spotify.com/v1/tracks/2MlqP1HzhitHfFXPXKumdB,https://api.spotify.com/v1/audio-analysis/2MlqP1HzhitHfFXPXKumdB,207933,4
8,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,audio_features,3qI94hINNNeb4S7xQi18lS,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/audio-analysis/3qI94hINNNeb4S7xQi18lS,214200,4
9,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333,4
