,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.406,0.445,7,-13.355,0,0.0745,0.093,0.0721,0.113,0.123,134.972,audio_features,3lMSWyB8H0A0rSRhUDSwoz,spotify:track:3lMSWyB8H0A0rSRhUDSwoz,https://api.spotify.com/v1/tracks/3lMSWyB8H0A0rSRhUDSwoz,https://api.spotify.com/v1/audio-analysis/3lMSWyB8H0A0rSRhUDSwoz,152560,4
1,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,audio_features,3UnyplmZaq547hwsfOR5yy,spotify:track:3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/tracks/3UnyplmZaq547hwsfOR5yy,https://api.spotify.com/v1/audio-analysis/3UnyplmZaq547hwsfOR5yy,197707,4
2,0.532,0.303,9,-13.076,1,0.0311,0.587,0.0657,0.111,0.225,124.157,audio_features,3HPLfZhQUds6N6tZ4WiApn,spotify:track:3HPLfZhQUds6N6tZ4WiApn,https://api.spotify.com/v1/tracks/3HPLfZhQUds6N6tZ4WiApn,https://api.spotify.com/v1/audio-analysis/3HPLfZhQUds6N6tZ4WiApn,244285,4
3,0.717,0.8,5,-5.794,0,0.0497,0.371,0.158,0.327,0.954,129.642,audio_features,5iFhkFf9JLA3XiROdYsg1i,spotify:track:5iFhkFf9JLA3XiROdYsg1i,https://api.spotify.com/v1/tracks/5iFhkFf9JLA3XiROdYsg1i,https://api.spotify.com/v1/audio-analysis/5iFhkFf9JLA3XiROdYsg1i,250000,4
4,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,audio_features,1VZedwJj1gyi88WFRhfThb,spotify:track:1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/tracks/1VZedwJj1gyi88WFRhfThb,https://api.spotify.com/v1/audio-analysis/1VZedwJj1gyi88WFRhfThb,278320,4
5,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,audio_features,3DSmOF7ETJHAQEqqgoSJao,spotify:track:3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/tracks/3DSmOF7ETJHAQEqqgoSJao,https://api.spotify.com/v1/audio-analysis/3DSmOF7ETJHAQEqqgoSJao,247067,4
6,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,audio_features,5HPnumlogzZtpLEaORZjz1,spotify:track:5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/tracks/5HPnumlogzZtpLEaORZjz1,https://api.spotify.com/v1/audio-analysis/5HPnumlogzZtpLEaORZjz1,213227,4
7,0.573,0.932,9,-2.862,1,0.0488,0.00152,0.0151,0.0643,0.376,125.486,audio_features,1ZwQZ0uasFP54ivamFLLhP,spotify:track:1ZwQZ0uasFP54ivamFLLhP,https://api.spotify.com/v1/tracks/1ZwQZ0uasFP54ivamFLLhP,https://api.spotify.com/v1/audio-analysis/1ZwQZ0uasFP54ivamFLLhP,245533,4
8,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4
9,0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4
