,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.4,0.836,7,-6.791,1,0.0359,0.377,0.0,0.0652,0.907,75.403,audio_features,01K1zFyjJhG2Qk7PIkSAEA,spotify:track:01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/tracks/01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/audio-analysis/01K1zFyjJhG2Qk7PIkSAEA,142160,4
1,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,audio_features,6H3kDe7CGoWYBabAeVWGiD,spotify:track:6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/tracks/6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/audio-analysis/6H3kDe7CGoWYBabAeVWGiD,270773,4
2,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4
3,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4
4,0.563,0.915,7,-5.062,1,0.08,0.247,8.46e-05,0.0613,0.71,136.345,audio_features,1mfV2kv9RwFKVI8kEQlmOJ,spotify:track:1mfV2kv9RwFKVI8kEQlmOJ,https://api.spotify.com/v1/tracks/1mfV2kv9RwFKVI8kEQlmOJ,https://api.spotify.com/v1/audio-analysis/1mfV2kv9RwFKVI8kEQlmOJ,142227,4
5,0.533,0.729,4,-6.976,0,0.046,0.593,0.0,0.0981,0.905,132.286,audio_features,6s6jmTumtDJGOB725jMJ8z,spotify:track:6s6jmTumtDJGOB725jMJ8z,https://api.spotify.com/v1/tracks/6s6jmTumtDJGOB725jMJ8z,https://api.spotify.com/v1/audio-analysis/6s6jmTumtDJGOB725jMJ8z,146360,4
6,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,audio_features,4mn2kNTqiGLwaUR8JdhJ1l,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,https://api.spotify.com/v1/tracks/4mn2kNTqiGLwaUR8JdhJ1l,https://api.spotify.com/v1/audio-analysis/4mn2kNTqiGLwaUR8JdhJ1l,269907,3
7,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,4vpeKl0vMGdAXpZiQB2Dtd,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/tracks/4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/audio-analysis/4vpeKl0vMGdAXpZiQB2Dtd,150640,4
8,0.344,0.81,11,-8.098,1,0.0448,0.0017,0.000409,0.119,0.667,153.801,audio_features,6EXOSA4BWBM1AUsXxKwYDT,spotify:track:6EXOSA4BWBM1AUsXxKwYDT,https://api.spotify.com/v1/tracks/6EXOSA4BWBM1AUsXxKwYDT,https://api.spotify.com/v1/audio-analysis/6EXOSA4BWBM1AUsXxKwYDT,160827,4
9,0.465,0.483,7,-13.882,0,0.0343,0.828,0.771,0.248,0.804,146.014,audio_features,25wihqbcZQksW4o8G35acQ,spotify:track:25wihqbcZQksW4o8G35acQ,https://api.spotify.com/v1/tracks/25wihqbcZQksW4o8G35acQ,https://api.spotify.com/v1/audio-analysis/25wihqbcZQksW4o8G35acQ,110493,4
10,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,audio_features,1DKyFVzIh1oa1fFnEmTkIl,spotify:track:1DKyFVzIh1oa1fFnEmTkIl,https://api.spotify.com/v1/tracks/1DKyFVzIh1oa1fFnEmTkIl,https://api.spotify.com/v1/audio-analysis/1DKyFVzIh1oa1fFnEmTkIl,156800,4
11,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4
12,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,audio_features,53xKlevoXT2OIdDQx3KDl1,spotify:track:53xKlevoXT2OIdDQx3KDl1,https://api.spotify.com/v1/tracks/53xKlevoXT2OIdDQx3KDl1,https://api.spotify.com/v1/audio-analysis/53xKlevoXT2OIdDQx3KDl1,176867,4
13,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,audio_features,1xKQbqQtQWrtQS47fUJBtl,spotify:track:1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/tracks/1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/audio-analysis/1xKQbqQtQWrtQS47fUJBtl,253333,4
14,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4
