,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.671,0.712,2,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805,audio_features,2fuCquhmrzHpu5xcA1ci9x,spotify:track:2fuCquhmrzHpu5xcA1ci9x,https://api.spotify.com/v1/tracks/2fuCquhmrzHpu5xcA1ci9x,https://api.spotify.com/v1/audio-analysis/2fuCquhmrzHpu5xcA1ci9x,248440,4
1,0.511,0.632,6,-9.645,1,0.0439,0.012,0.0996,0.306,0.483,97.612,audio_features,4HCWqhZGWPWwryXmQ6D4UU,spotify:track:4HCWqhZGWPWwryXmQ6D4UU,https://api.spotify.com/v1/tracks/4HCWqhZGWPWwryXmQ6D4UU,https://api.spotify.com/v1/audio-analysis/4HCWqhZGWPWwryXmQ6D4UU,240093,4
2,0.204,0.837,5,-7.618,1,0.0676,0.281,0.00405,0.291,0.392,171.514,audio_features,0VafPclbphrwh36WraHWws,spotify:track:0VafPclbphrwh36WraHWws,https://api.spotify.com/v1/tracks/0VafPclbphrwh36WraHWws,https://api.spotify.com/v1/audio-analysis/0VafPclbphrwh36WraHWws,590000,4
3,0.5,0.851,2,-6.027,1,0.038,0.0128,0.00698,0.136,0.358,125.599,audio_features,2TlXPShOrPn4K51fP0Fykd,spotify:track:2TlXPShOrPn4K51fP0Fykd,https://api.spotify.com/v1/tracks/2TlXPShOrPn4K51fP0Fykd,https://api.spotify.com/v1/audio-analysis/2TlXPShOrPn4K51fP0Fykd,275040,4
4,0.685,0.633,9,-7.259,1,0.0377,0.0136,0.000106,0.0935,0.731,131.397,audio_features,1jM23jASF0JrhgqYhqCZfl,spotify:track:1jM23jASF0JrhgqYhqCZfl,https://api.spotify.com/v1/tracks/1jM23jASF0JrhgqYhqCZfl,https://api.spotify.com/v1/audio-analysis/1jM23jASF0JrhgqYhqCZfl,317240,4
5,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,audio_features,0BCPKOYdS2jbQ8iyB56Zns,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
6,0.679,0.655,9,-11.859,0,0.0456,0.22,0.0198,0.109,0.898,146.556,audio_features,0vlCOzte4bru0gK74lfUIJ,spotify:track:0vlCOzte4bru0gK74lfUIJ,https://api.spotify.com/v1/tracks/0vlCOzte4bru0gK74lfUIJ,https://api.spotify.com/v1/audio-analysis/0vlCOzte4bru0gK74lfUIJ,324200,4
7,0.495,0.781,4,-8.109,1,0.0413,0.254,0.0,0.395,0.473,119.206,audio_features,3HRQtRUYnnuZY7fE900XtJ,spotify:track:3HRQtRUYnnuZY7fE900XtJ,https://api.spotify.com/v1/tracks/3HRQtRUYnnuZY7fE900XtJ,https://api.spotify.com/v1/audio-analysis/3HRQtRUYnnuZY7fE900XtJ,248200,4
8,0.398,0.672,7,-10.092,1,0.0323,0.000596,2.54e-05,0.054,0.335,110.979,audio_features,38kFkxxp18NKg0xMFP2lBO,spotify:track:38kFkxxp18NKg0xMFP2lBO,https://api.spotify.com/v1/tracks/38kFkxxp18NKg0xMFP2lBO,https://api.spotify.com/v1/audio-analysis/38kFkxxp18NKg0xMFP2lBO,201467,4
9,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,5CQ30WqJwcep0pYcV4AMNc,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
